Annotation of K4/K36 DHMSs for 18795 RefSeq genes. Expression data retrieved from in Mikkelson et.al. (2007),,,,,,,,,
,,,,,,,,,
RefSeq ID,symbol,chrom,txStart,txEnd,strand,K4 DHMS,K36 DHMS,expression in ESC,expression in NPC
NM_025791,0610006I08Rik,chr3,93018381,93019499,+,None,None,492.4259553,1274.47335
NM_212470,0610007C21Rik,chr6,42288093,42302875,-,None,None,809.50223,2433.779254
NM_001081394,0610007L01Rik,chr6,41535174,41550109,+,None,None,1087.018014,1035.663031
NM_023507,0610007P08Rik,chr17,37783138,37784075,+,None,None,7.32232349,7.141691711
NM_021446,0610007P14Rik,chr17,23388144,23396241,+,None,None,NA,NA
NM_026676,0610007P22Rik,chr2,119433777,119442693,+,None,None,NA,NA
NM_026673,0610008C08Rik,chrX,94352468,94519865,+,None,None,NA,NA
NM_026685,0610009B10Rik,chr17,37816299,37817237,+,None,None,NA,NA
NM_025319,0610009B22Rik,chr15,37177835,37308151,+,None,None,1748.755538,1640.004525
NM_025323,0610009D07Rik,chr17,45959977,45962807,+,None,None,6982.022102,6330.501777
NM_001024385,0610009I22Rik,chr3,51493407,51496884,-,None,None,NA,NA
NM_027859,0610009J22Rik,chr15,76074061,76077159,+,None,None,57.96532239,166.5509549
NM_026689,0610009K11Rik,chr5,29804049,29809257,-,None,None,16.84677399,23.30427282
NM_026660,0610009O03Rik,chr11,83258070,83279156,-,ES,None,238.8136552,60.64852238
NM_024179,0610009O20Rik,chr2,113577151,113629930,-,None,None,326.5619942,186.6502393
NM_026152,0610010D20Rik,chr10,39302349,39344723,+,ES,None,4.779921685,4.568594263
NM_026681,0610010D24Rik,chr17,21271742,21293380,+,None,ES,277.8587849,151.2822611
NM_001033140,0610010E21Rik,chr7,108421170,108422101,+,None,None,253.1846733,556.8705708
NM_027860,0610010F05Rik,chr15,75689593,75694659,+,None,None,652.132093,714.5391125
NM_026757,0610010K14Rik,chr15,79518150,79548733,+,None,None,NA,NA
NM_001081365,0610010O12Rik,chr2,66071620,66241676,-,None,None,634.9455296,112.446344
NM_026686,0610011F06Rik,chr2,118553440,118572798,+,None,None,219.2315669,422.9913875
NM_026661,0610011L14Rik,chr3,156497086,157251740,+,None,None,10.23810409,10.21923822
NM_024201,0610011N22Rik,chr17,37943211,37944149,+,None,None,NA,NA
NM_026687,0610012A11Rik,chr17,34006568,34068780,+,None,None,NA,NA
NM_021554,0610012D09Rik,chr7,108436786,108437751,-,None,None,NA,NA
NM_026690,0610012D14Rik,chr7,108458594,108459537,+,None,NP,2.744987316,2.751402204
NM_025329,0610012D17Rik,chr2,11696429,11697854,+,None,None,1379.275847,447.5288954
NM_028747,0610012H03Rik,chr11,114798538,114805976,-,ES,None,4.223209528,4.181248328
NM_029788,0610013E23Rik,chr15,85687741,85704338,+,None,None,586.9088116,445.2027763
NM_133771,0610016J10Rik,chr2,136772898,136807772,-,None,None,NA,NA
NM_001013414,0610025P10Rik,chr15,78855466,78857753,+,None,None,NA,NA
NM_020003,0610031J06Rik,chr4,52460348,52509357,+,None,None,748.5517308,854.6698237
NM_026714,0610037D15Rik,chr5,149357578,149363386,-,None,None,NA,NA
NM_028754,0610037L13Rik,chr5,35705977,35709731,+,None,None,127.0923274,325.031142
NM_025345,0610037P05Rik,chr2,136223761,136247295,+,None,None,1036.105921,1170.963885
NM_026306,0610038D11Rik,chr3,130685075,130698573,-,None,None,3.414377376,4.016408325
NM_025333,0610038F07Rik,chr3,92862612,92864302,-,None,None,484.3527015,585.1831779
NM_026701,0610038K03Rik,chr1,93152480,93178709,+,ES,None,NA,NA
NM_001085378,0610038P03Rik,chr3,88057019,88066376,+,None,None,NA,NA
NM_025346,0610039K22Rik,chr15,98084015,98085313,-,None,None,NA,NA
NM_026159,0610039N19Rik,chr7,120212849,120335958,+,None,None,NA,NA
NM_023153,0610040D20Rik,chr9,53964073,53991573,-,None,None,1625.095945,1945.062006
NM_029554,0610040J01Rik,chr6,137441440,137613316,-,None,None,6.190935643,5.957225472
NM_175118,0710001B24Rik,chr1,135891275,135895566,-,ES,None,NA,NA
NM_001007569,0710005I19Rik,chr7,108504531,108505511,+,None,None,20.86807293,21.01377993
NM_178631,0710005M24Rik,chr11,77534926,77541488,-,ES,None,6.112446956,5.982208725
NM_026995,0710008K08Rik,chr8,122280868,122297064,+,None,None,343.3748626,1109.277049
NM_144846,0910001A06Rik,chr10,80587133,80596127,+,ES,None,1957.159428,1091.634664
NM_001081108,0910001L09Rik,chr6,119536414,119813769,-,None,None,518.4925848,1073.653501
NM_001081123,1100001E04Rik,chrX,20005556,20017477,+,None,None,7.093154952,6.952121474
NM_183249,1100001G20Rik,chr15,56495711,56524581,-,None,None,8.291879902,8.216533905
NM_025806,1100001H23Rik,chr11,96753905,96760109,-,ES,None,4.199770267,4.152676123
NM_026724,1100001I22Rik,chr4,132005041,132029247,-,None,None,NA,NA
NM_025377,1110001A07Rik,chr15,88951071,88956393,-,None,None,300.2834281,437.821429
NM_026763,1110001D15Rik,chr9,57486064,57501958,+,None,None,7.675504952,7.567972822
NM_025363,1110001J03Rik,chr7,45844421,45898328,-,None,None,266.7290008,702.4895318
NM_028629,1110001M24Rik,chr4,40925788,40946542,-,None,None,NA,NA
NM_134054,1110002B05Rik,chr17,32535547,32548784,-,None,None,NA,NA
NM_025365,1110002E23Rik,chr2,163029214,163089391,-,None,None,NA,NA
NM_025376,1110002H13Rik,chr3,127625166,127627651,+,None,None,4.176690144,4.167634472
NM_183275,1110002N22Rik,chr15,97620718,97659705,-,None,None,936.7544949,311.9774203
NM_133697,1110003E01Rik,chr6,148136487,148169192,-,None,None,1342.510772,1307.31185
NM_028336,1110004B13Rik,chr15,74646330,74651691,+,None,None,1817.93787,740.2827576
