"DHMS regions identified for K27, K4, and K36",,,,,
,,,,,
"K27, ESC enriched","K27, NPC enriched","K4, ESC enriched","K4, NPC enriched","K36, ESC enriched","K36, NPC enriched"
chr1:4678000-4680000,chr1:3515000-3518000,chr1:3661000-3663000,chr1:4006000-4007000,chr1:12710000-12722000,chr1:4980000-4982000
chr1:5008000-5014000,chr1:4299000-4304000,chr1:4481000-4484000,chr1:9532000-9533000,chr1:12736000-12741000,chr1:4997000-5001000
chr1:5906000-5908000,chr1:4355000-4359000,chr1:4486000-4489000,chr1:9536000-9541000,chr1:12746000-12753000,chr1:9554000-9560000
chr1:6431000-6433000,chr1:4438000-4444000,chr1:4842000-4843000,chr1:9682000-9684000,chr1:12770000-12774000,chr1:9599000-9611000
chr1:9783000-9787000,chr1:4447000-4452000,chr1:5578000-5580000,chr1:9727000-9732000,chr1:12778000-12796000,chr1:9675000-9681000
chr1:9833000-9837000,chr1:4574000-4578000,chr1:5906000-5908000,chr1:9782000-9783000,chr1:12802000-12813000,chr1:25010000-25021000
chr1:12977000-12981000,chr1:5585000-5591000,chr1:6349000-6350000,chr1:14292000-14294000,chr1:12823000-12825000,chr1:25389000-25403000
chr1:13110000-13114000,chr1:9263000-9266000,chr1:7196000-7197000,chr1:16602000-16603000,chr1:12830000-12837000,chr1:25437000-25441000
chr1:14490000-14494000,chr1:9349000-9350000,chr1:8926000-8927000,chr1:17041000-17042000,chr1:13636000-13645000,chr1:25475000-25485000
chr1:15877000-15879000,chr1:13915000-13922000,chr1:9284000-9286000,chr1:18129000-18132000,chr1:36016000-36050000,chr1:25718000-25726000
chr1:16077000-16079000,chr1:14853000-14855000,chr1:9455000-9456000,chr1:20161000-20162000,chr1:36547000-36561000,chr1:25757000-25769000
chr1:21945000-21950000,chr1:14878000-14892000,chr1:9833000-9835000,chr1:21814000-21816000,chr1:37047000-37074000,chr1:34634000-34640000
chr1:23715000-23719000,chr1:14909000-14911000,chr1:9893000-9895000,chr1:22593000-22596000,chr1:37083000-37089000,chr1:34662000-34674000
chr1:34417000-34418000,chr1:18118000-18123000,chr1:9952000-9954000,chr1:23863000-23864000,chr1:51416000-51421000,chr1:34730000-34735000
chr1:34578000-34582000,chr1:18188000-18189000,chr1:9984000-9985000,chr1:24168000-24170000,chr1:52893000-52897000,chr1:42594000-42626000
chr1:34621000-34625000,chr1:18965000-18968000,chr1:9994000-9995000,chr1:25767000-25774000,chr1:63137000-63165000,chr1:42644000-42657000
chr1:34668000-34669000,chr1:19592000-19599000,chr1:10978000-10980000,chr1:25776000-25777000,chr1:63172000-63180000,chr1:50885000-50895000
chr1:34689000-34699000,chr1:19681000-19687000,chr1:11315000-11316000,chr1:25836000-25840000,chr1:63189000-63204000,chr1:55661000-55665000
chr1:34749000-34751000,chr1:20315000-20320000,chr1:11399000-11400000,chr1:27941000-27943000,chr1:63215000-63217000,chr1:56772000-56777000
chr1:34874000-34875000,chr1:20340000-20342000,chr1:12677000-12679000,chr1:34608000-34610000,chr1:63237000-63242000,chr1:56898000-56900000
chr1:36211000-36217000,chr1:22026000-22028000,chr1:12703000-12705000,chr1:39847000-39849000,chr1:63382000-63391000,chr1:57753000-57758000
chr1:36707000-36712000,chr1:22103000-22106000,chr1:12793000-12794000,chr1:41550000-41551000,chr1:63394000-63522000,chr1:58005000-58026000
chr1:39594000-39597000,chr1:22198000-22201000,chr1:12820000-12821000,chr1:41597000-41598000,chr1:71519000-71584000,chr1:58040000-58050000
chr1:40268000-40271000,chr1:22396000-22401000,chr1:12975000-12977000,chr1:42483000-42486000,chr1:72094000-72143000,chr1:63961000-63984000
chr1:42435000-42437000,chr1:28675000-28678000,chr1:13054000-13063000,chr1:42634000-42639000,chr1:72266000-72274000,chr1:66116000-66143000
chr1:42628000-42659000,chr1:28937000-28939000,chr1:13079000-13082000,chr1:42644000-42648000,chr1:88136000-88141000,chr1:66212000-66220000
chr1:44496000-44498000,chr1:31319000-31321000,chr1:13088000-13091000,chr1:42655000-42658000,chr1:89511000-89553000,chr1:66229000-66249000
chr1:50870000-50873000,chr1:32231000-32237000,chr1:13109000-13115000,chr1:43638000-43643000,chr1:120457000-120513000,chr1:66256000-66380000
chr1:52445000-52448000,chr1:32441000-32442000,chr1:14491000-14493000,chr1:43880000-43881000,chr1:120667000-120671000,chr1:66702000-66717000
chr1:55306000-55310000,chr1:38359000-38365000,chr1:14739000-14741000,chr1:44530000-44531000,chr1:120682000-120697000,chr1:66730000-66741000
chr1:55350000-55352000,chr1:38376000-38440000,chr1:15271000-15272000,chr1:50561000-50562000,chr1:120698000-120711000,chr1:66756000-66795000
